Question,A,B,C,D,Prav_vid
Що означає динамічна типізація Python?,У Python об'єкти не мають типів,"Тип належить об'єкту, а ім'я може під час виконання посилатися на об'єкти різних типів",Тип назавжди закріплюється за ім'ям змінної,Типи перевіряються лише компілятором до запуску,B
Кому в Python належить тип?,Імені змінної,Файлу модуля,Функції import,Об'єкту,D
Чи означає динамічна типізація відсутність типів?,"Так, типів у Python немає","Так, але лише для рядків",Типи існують тільки в IDE,"Ні, кожен об'єкт має конкретний runtime-тип",D
Що таке type hints?,"Анотації, які описують очікувані типи для розробника та статичних аналізаторів",Різновид винятків,Спосіб шифрування даних,Механізм обов'язкового runtime-перетворення,A
Чи примушує інтерпретатор Python за замовчуванням дотримуватися type hints?,Ні,Лише для dataclass,Лише для int,"Так, завжди",A
Яка користь type hints згадується в лекції?,Автоматична серіалізація,Повна заміна unit-тестів,"Самодокументування API, статичний аналіз і безпечніший рефакторинг",Автоматичне прискорення всього коду,C
"Як анотувати функцію greet, що приймає str і повертає str?",str greet(name: str),def greet(name: str) -> str:,def greet(name)::str,def greet(str name) => str:,B
Що означає анотація -> None?,Функція є абстрактною,Функція не може мати параметрів,Функція обов'язково повертає рядок None,Функція не повинна повертати змістовне значення,D
Де можна побачити анотації функції під час виконання?,У __slots__,У її __annotations__,У __mro__,У __iter__,B
Чи можна анотувати змінну без початкового значення?,"Так, і вона автоматично дорівнює None","Ні, це синтаксична помилка","Так, але до присвоєння її не можна читати",Лише всередині класу,C
Як у сучасному Python анотувати список рядків?,list[str],List<str>,str[],array[str],A
Як анотувати словник від str до float?,"dict<float, str>","dict[str, float]",dict(str => float),map[str; float],B
Як анотувати пару координат з двох float?,pair<float>,"list[float, float]","tuple[float, float]",tuple[float],C
"Що означає tuple[int, ...]?",Кортеж з int і обов'язково None,Порожній кортеж,Кортеж рівно з одного int,"Кортеж довільної довжини, усі елементи якого мають тип int",D
Що описує Union?,"Тип, що забороняє альтернативи",Тільки nullable значення,Лише об'єднання списків,"Значення, яке може належати до одного з декількох типів",D
"Який сучасний запис еквівалентний Union[int, str]?",int + str,int / str,int & str,int | str,D
Що означає Optional[T]?,Лише T без None,Необов'язковий параметр зі значенням за замовчуванням,Будь-який тип через Any,T | None,D
"Чи означає Optional[T], що параметр має значення за замовчуванням?","Так, завжди None",Ні,"Так, завжди 0",Лише для функцій без return,B
Що таке type narrowing?,Автоматичне перетворення float на int,Видалення анотацій,Скорочення назви типу,Звуження множини можливих типів після перевірки,D
Яка перевірка звужує str | None до str у прикладі лекції?,Виклик print(value),Виклик type без умови,Перевірка value is None з виходом із відповідної гілки,Присвоєння value = value,C
