Question,A,B,C,D,Prav_vid
1. Python. Лекція 5.Числові алгоритми.Матричні обчислення.?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
2. Numeric для Python2 - це кілька модулів для обчислень з багатовимірними масивами?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
3. Python. Лекція 5.Численні алгоритми.Матричні обчислення.?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
"4. Модуль Numeric 
Модуль Numeric визначає повноцінний тип-масив та містить велике ?",Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
5. бібліотека Numpy?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
6. В Python 3 для роботи з масивами використовується бібліотека Numpy. Вона передба?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
7. Numpy?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
"8. 1.NumPy - це фундаментальний пакет для наукових обчислень мовою Python, 
Причин ?",Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
9. 2. Встановлення за допомогою pip?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
"10. Практично всі пакети, що розробляються великими проектами, вивантажуються в ката?",Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
11. 3. Масиви NumPy?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
12. Головний об'єкт NumPy – це однорідний багатовимірний масив. Найчастіше це одномі?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
13. 3. Масиви NumPy?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
"14. Тепер ми маємо одномірний масив (словосполучення "" ранг масиву ""), тобто у нього?",Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
15. 3. Масиви NumPy?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
"16. Тепер замість індексу вкажемо логічний вираз:
import numpy as np
a = np.array([1?",Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
17. 3. Масиви NumPy?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
"18. Двовимірні масиви:
import numpy as np
a = np.arange(12)
print(a)
Результат: [ 0 ?",Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
19. 3. Масиви NumPy?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
"20. Зміна форми масиву з допомогою методу reshape(), тобто. насправді створити цей м?",Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
21. 3. Масиви NumPy?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
"22. Отримати елемент 9 можна простою командою:
import numpy as np
a = np.arange(12).?",Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
23. 3. Масиви NumPy?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
"24. Те саме ми можемо зробити з кожним рядком масиву a:
import numpy as np
a = np.ar?",Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
25. 3. Масиви NumPy?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
"26. Наприклад, у нас є двовимірний масив і ми хочемо дізнатися його мінімальні елеме?",Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
27. 3. Масиви NumPy. Двомірні масиви?,Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
"28. А ось мінімальні елементи по стовпцям та рядкам: 
import numpy as np
a = np.rand?",Правильне твердження,Неправильне твердження,Частково правильне,Жодне з наведених,A
