Question,A,B,C,D,Prav_vid
Що є основною метою описової статистики?,Побудувати модель машинного навчання,Описати структуру та характеристики даних,Знайти кореляцію між змінними,Передбачити майбутні значення,B
Яка статистика дозволяє робити висновки про генеральну сукупність?,Індуктивна статистика,Описова статистика,Візуальна статистика,Обчислювальна статистика,A
Що показує середнє значення (mean)?,Найчастіше значення,Середнє арифметичне значення,Мінімальне значення,Кількість спостережень,B
Що таке медіана?,Середнє значення,Значення, що ділить впорядковані дані навпіл,Найменше значення,Сума значень,B
Що означає мода?,Найчастіше значення у вибірці,Середнє значення,Різниця між максимумом і мінімумом,Сума всіх значень,A
Яка характеристика показує розсіювання даних?,Медіана,Дисперсія,Мода,Квантіль,B
Що таке стандартне відхилення?,Кількість значень у вибірці,Міра розсіювання даних навколо середнього,Середнє значення,Максимальне значення,B
Що показує гістограма?,Розподіл частот значень,Середнє значення,Кореляцію між змінними,Медіану,A
Яка статистика відповідає на питання про популяцію?,Описова,Індуктивна,Графічна,Обчислювальна,B
Що таке генеральна сукупність?,Вся популяція об’єктів дослідження,Найменша вибірка даних,Середнє значення вибірки,Половина вибірки,A
Який розподіл має дзвоноподібну форму?,Біноміальний,Пуассонівський,Нормальний,Рівномірний,C
Який параметр характеризує центр нормального розподілу?,σ,p,μ,n,C
Що означає σ у нормальному розподілі?,Стандартне відхилення,Середнє значення,Ймовірність,Кількість подій,A
Який розподіл має однакову ймовірність для всіх значень?,Нормальний,Біноміальний,Рівномірний,Пуассонівський,C
Який розподіл описує кількість успіхів у n випробуваннях?,Біноміальний,Нормальний,Пуассонівський,Рівномірний,A
Який розподіл описує кількість рідкісних подій?,Нормальний,Пуассонівський,Рівномірний,Біноміальний,B
Що вимірює кореляція?,Середнє значення,Силу і напрямок зв’язку між змінними,Кількість спостережень,Дисперсію,B
У яких межах змінюється коефіцієнт кореляції?,0 до 1,-1 до 1,-10 до 10,0 до 10,B
Що означає r = 1?,Ідеальна позитивна кореляція,Відсутність зв’язку,Негативна кореляція,Слабка кореляція,A
Що означає r = 0?,Немає лінійного зв’язку,Ідеальна кореляція,Максимальна залежність,Повна негативна залежність,A
Який метод кореляції використовується для лінійного зв’язку?,Pearson,Spearman,Kendall,Chi-square,A
Який метод кореляції базується на рангах?,Spearman,Pearson,Kendall,ANOVA,A
Який метод кореляції оцінює узгодженість ранжувань?,Pearson,Kendall,Spearman,Chi-square,B
Що таке нульова гіпотеза?,Припущення про відсутність ефекту,Припущення про наявність ефекту,Максимальне значення,Середнє значення,A
Що означає альтернативна гіпотеза?,Відсутність ефекту,Існування ефекту,Середнє значення,Рівність груп,B
Що означає p-value?,Ймовірність отримати такий результат випадково,Середнє значення,Стандартне відхилення,Кількість спостережень,A
Коли відхиляють нульову гіпотезу?,p ≤ α,p ≥ α,p = 1,p = 0,A
Яке типове значення рівня значущості α?,0.05,0.5,5,0.9,A
Що таке помилка I роду?,False positive,False negative,Random error,Variance,A
Що таке помилка II роду?,False positive,False negative,Standard deviation,Mean,B
Який тест використовується для порівняння середніх двох груп?,Chi-square,t-test,Spearman,ANOVA,B
Що повертає t-test?,Mean і median,t-statistic і p-value,Min і max,Variance і std,B
Що перевіряє χ² тест?,Залежність між категоріальними змінними,Середнє значення,Нормальність розподілу,Кореляцію,A
Що таке довірчий інтервал?,Середнє значення,Діапазон можливих значень параметра,Дисперсія,Максимум,B
Що впливає на ширину довірчого інтервалу?,Розмір вибірки,Колір графіка,Тип файлу,Формат таблиці,A
Що таке A/B тест?,Порівняння двох варіантів продукту,Генерація випадкових чисел,Метод кластеризації,Тип кореляції,A
Що означає конверсія?,Виконання цільової дії користувачем,Середнє значення,Частота подій,Тип розподілу,A
Що означає 1 у бінарній конверсії?,Дія виконана,Дія не виконана,Помилка даних,Випадкове число,A
Що означає 0 у бінарній конверсії?,Дія виконана,Дія не виконана,Помилка моделі,Середнє значення,B
Який перший етап статистичного аналізу?,Опис даних,Перевірка гіпотез,Проведення тесту,Інтерпретація результатів,A
Який етап іде після вибору статистичного тесту?,Проведення тесту,Збір даних,Візуалізація,Нормалізація,A
Що показує p-value у статистичному тесті?,Ймовірність випадковості отриманого результату,Середнє значення,Кількість спостережень,Розмір вибірки,A
