Question,A,B,C,D,Prav_vid
Що повертає safe_int для рядка ' 34 '?,34,'34',3.4,None,A
Чому для комбінаторів часто потрібні адаптери?,Python не підтримує функції,Багато комбінаторів очікують унарні функції,Адаптери потрібні лише для файлів,Унарні функції не можна компонувати,B
Що перевіряє property-тест juxt для рядка s?,Що upper і lower завжди однакові,Що результати дорівнюють s.upper() та s.lower(),Що рядок має парну довжину,Що рядок є числом,B
"Який результат filter(lambda x: x > 0, [0,-2,5,10,-1])?","[0, -2, -1]","[0, 5, 10]","[-2, -1]","[5, 10]",D
Який комбінатор у лекції використовується для явного ланцюга трансформацій?,chunk,group_by,pipe,partition,C
Який модуль містить reduce у Python?,functools,dataclasses,pathlib,operator,A
Що таке замикання?,"Файл, закритий після читання","Функція, що захоплює значення з оточення",Ітератор без елементів,Клас без методів,B
Що робить juxt?,Застосовує кілька функцій до одного аргументу та збирає результати,Послідовно компонує функції справа наліво,Негує предикат,Групує список за ключем,A
"Що робить map(fn, iterable)?",Залишає лише істинні елементи,Згортає послідовність в одне значення,Сортує елементи,Застосовує fn до кожного елемента,D
Що таке перекомпозиція як антипатерн?,"Надто довгий ланцюг дрібних функцій, що погіршує читабельність",Використання dataclass,Використання двох чистих функцій,Використання sum,A
"Що робить methodcaller('replace',' ','_')?",Видаляє всі символи,Одразу змінює всі рядки програми,"Створює функцію, що замінює пробіли на підкреслення",Розділяє рядок,C
Що таке transducers у контексті додаткових тем?,Тип бази даних,Формат документації,Мережевий протокол,Абстракція перетворення ітераторів без проміжних колекцій,D
Що робить complement(pred)?,Сортує результати pred,Подвоює pred,"Створює предикат, що заперечує pred",Кешує pred,C
Що повертає multiplier(3)(10) у прикладі?,13,30,3,10,B
"Що робить group_by(key, xs)?","Групує елементи у dict[key, list]",Повертає лише ключі,Згортає все в число,Розбиває рядок,A
Що рекомендовано для групування та підсумків замість складного reduce?,Глобальний tuple,Тільки рекурсія,Явний цикл із defaultdict,Вкладений eval,C
Що робить parse_iso у прикладі з lru_cache?,Фільтрує числа,"Розбирає рядок дати на рік, місяць і день",Сортує користувачів,Форматує email,B
"Що повертає juxt(len, sum)([1,2,3])?","(3, 6)",9,"[1,2,3]","(6, 3)",A
До якого вигляду нормалізується User ' ADA '?, Ada ,ada,ADA,None,B
Який запис наведено як часто читабельнішу альтернативу map?,Глобальний цикл while,Рекурсивний клас,SQL SELECT,List comprehension,D
Що обрати для комбінації предикатів?,sort_by лише,reduce(mul),all_pass/any_pass/complement,itemgetter лише,C
Яка функція operator відповідає множенню?,truediv,sub,add,mul,D
Яка головна тема лекції 2?,Об'єктно-орієнтоване проєктування,Функції вищого порядку та композиція,Робота з базами даних,Асинхронне програмування,B
"Що означає pipe(x, f, g, h)?",x(f(g(h))),h(g(f(x))),f(g(h(x))),f(x)+g(x)+h(x),B
"Що робить drop(n, xs)?",Групує по n,Бере перші n елементів,Множить елементи на n,Відкидає перші n елементів,D
Що природніше використати для ковзної/наростаючої суми?,attrgetter,partial,filter,accumulate,D
Що порівнює бенчмарк-ескіз домашнього завдання?,lru_cache і datetime,pytest і mypy,map_ і comprehension на 1e5 елементів,filter_ і SQL на 10 елементах,C
"Чому не слід кешувати функцію, залежну від часу або середовища?",Python забороняє декоратори для них,lru_cache не приймає функцій,Кеш може повертати застарілий або хибний результат,Такі функції завжди повертають None,C
Скільки property-тестів вимагається в домашньому завданні?,100,3,10,1,B
Чому side-effects у lambda всередині reduce небажані?,Вони перетворюють lambda на generator,Вони необхідні для FP,Вони роблять код менш прозорим і читабельним,Вони завжди прискорюють програму,C
Чому складні reduce-ланцюги для структур названі антипатерном?,reduce не працює зі структурами,Вони погіршують читабельність і можуть створювати зайві копії,Вони завжди дають SyntaxError,Вони заборонені Python,B
"Що виражає on(f, g)(x, y)?",f(x)+g(y),"g(x,y,f)","g(f(x,y))","f(g(x), g(y))",D
"Який результат reduce(mul, range(1,6), 1)?",15,120,24,720,B
Які готові FP-бібліотеки Python згадані в лекції?,django і flask,pandas і numpy,toolz і funcy,pygame і tkinter,C
Скільки балів дається за якість API і композиційність?,6,10,4,2,C
Що радять робити зі складними lambda-функціями?,Робити їх ще довшими,Зберігати в глобальному mutable list,Замінювати на eval,Виносити їх в іменовані чисті функції,D
До якого вигляду нормалізується email 'Ada@Example.com '?,ADA@EXAMPLE.COM ,None,ada@example.com,Ada@Example.com ,C
"Що поверне partial(int, base=16)('ff')?",15,0,255,16,C
Який принцип важливий при використанні point-free стилю?,Завжди уникати іменованих функцій,Використовувати лише lambda,Не жертвувати читабельністю заради лаконічності,Будувати максимально довгі композиції,C
Що обрати для фільтрації?,attrgetter,List comprehension з умовою або filter,reduce(mul),partial,B
Що таке point-free стиль?,Стиль композиції функцій без явного маніпулювання їх параметрами,Стиль без функцій,Стиль лише з циклами,Стиль без типізації,A
"Що повертає partition(pred, xs)?",Лише істинні елементи,Лише хибні елементи,Одне число,"Пару (trues, falses)",D
Для чого в прикладі з accumulate використовується deepcopy?,Щоб створити предикат,Щоб сортувати дані,Щоб за потреби зберігати незмінність проміжного стану,Щоб читати файл,C
"Що робить sort_by(key, xs, reverse=False)?",Фільтрує елементи,Сортує елементи за ключовою функцією,Кешує список,Групує елементи,B
Що рекомендується для стрімінгової обробки без зайвого списку?,deepcopy кожного елемента,Генераторні вирази,Глобальний cache для всього,Матеріалізація кожного кроку в list,B
"Що робить filter(pred, iterable)?",Об'єднує всі елементи в рядок,Застосовує pred до всіх елементів і повертає числа,Сортує послідовність,"Залишає елементи, для яких pred(x) істинний",D
Що робить lru_cache?,Перетворює функцію на клас,Кешує результати викликів функції,Сортує результати,Виконує функцію паралельно,B
Чого радить уникати лекція у замиканнях?,Чистих функцій,Передавання явних параметрів,Незмінних dataclass,Захоплення мінливих змінних,D
Для чого itemgetter/attrgetter/methodcaller корисні у point-free стилі?,Створюють глобальний стан,Дозволяють зменшити кількість lambda-функцій,Замінюють pytest,Матеріалізують усі ітератори,B
Що обрати для зіставлення значень перед бінарною функцією?,pluck,chunk,pipe,on,D
Що потрібно зробити з tags у міні-проєкті?,Видалити всі,Привести до нижнього регістру та зробити унікальними,Перетворити на int,Зберігати лише перший символ,B
Яку властивість unique_by потрібно перевірити property-тестом?,Розмір кешу,Коректність унікалізації за ключем,Формат дати,Швидкість мережі,B
Яка функція operator викликає метод за ім'ям?,attrgetter,methodcaller,itemgetter,groupby,B
"Що робить unique_by(key, xs)?",Унікалізує елементи за значенням ключової функції,Сортує елементи,Дублює елементи,Видаляє всі ключі,A
Що названо «Lambda-зло»?,Використання operator,Будь-яке використання функцій,Надмір анонімних функцій без імен і документації,Використання TypeVar,C
Які поля містить приклад raw-запису нормалізації?,"User, email, age, status","name, salary, city, id","x, y, z, t","host, port, path, mode",A
Що робить all_pass(*preds)?,Перевіряє лише перший предикат,"Перевіряє, що всі предикати істинні для значення",Негує всі предикати,Повертає список предикатів,B
Для чого partial корисний у пайплайнах?,Для автоматичного тестування,Для створення файлів,Для сортування без ключа,Для адаптації багатоаргументних функцій до зручніших інтерфейсів,D
Що повертає safe_int для рядка 'not set'?,-1,0,ValueError обов'язково,None,D
"Який закон композиції стверджує compose(id, f) == f?",Закон дистрибутивності,Закон комутативності,Закон де Моргана,Закон ідентичності,D
Як normalize_record отримує чотири сирі поля одночасно?,Через lru_cache,Через reduce(mul),Через juxt із чотирма pluck-функціями,Через sorted,C
"Що поверне by_len_eq('Ada','Tim')?",None,False,True,3,C
Для чого в лекції використовується timeit?,Для типізації,Для мікробенчмарків,Для кешування,Для групування,B
Що приймає filter як перший аргумент?,Файл,Початковий акумулятор,Клас dataclass,Предикат,D
"У якому порядку compose(f, g) застосовує функції?",У випадковому порядку,"Спочатку f, потім g",Одночасно,"Спочатку g, потім f",D
До якого моменту радять працювати з ітераторами?,До імпорту functools,Ітератори радять не використовувати,"До моменту, коли справді потрібна матеріалізація",Лише до першого елемента,C
Що таке функція вищого порядку?,Функція лише для чисел,"Функція, що приймає функції як аргументи або повертає функції",Функція з більш ніж десятьма аргументами,Рекурсивна функція без параметрів,B
