Question,A,B,C,D,Prav_vid
"Яка форма результату при (3,4) + (4,)?","(3,4)","(4,3)",Помилка,"(3,)","(3,4)"
"Яка форма результату при (3,4) + (3,1)?","(3,4)","(3,1)","(1,4)",Помилка,"(3,4)"
"Яка форма результату при (3,4) + (3,)?","(3,4)","(4,3)",Помилка,"(3,3)",Помилка
Broadcasting працює якщо розмірності:,Однакові або 1,Будь-які,Тільки однакові,Тільки 2D,Однакові або 1
"(5,1) + (5,) дає форму:","(5,5)","(5,1)","(1,5)",Помилка,"(5,5)"
"(2,3) + (3,) означає:",Додається рядок,Додається стовпець,Помилка,Транспонування,Додається рядок
"(2,3) + (2,1) означає:",Додається стовпець,Додається рядок,Помилка,"(2,2)",Додається стовпець
"(4,) + (4,) дає:","(4,)","(4,4)",Помилка,"(1,4)","(4,)"
Якщо розміри 4 і 3 справа — буде:,Помилка,Broadcast,"(4,3)","(3,4)",Помилка
Скаляр у broadcasting має форму:,(),"(1,)","(1,1)","(n,)",()
Що повертає .shape?,Форму масиву,Тип,Кількість елементів,Значення,Форму масиву
Що повертає .ndim?,Кількість вимірів,Форму,Тип,Довжину,Кількість вимірів
Що повертає .size?,Кількість елементів,Форму,Вимір,Тип,Кількість елементів
Що повертає .dtype?,Тип даних,Форму,Розмір,Осі,Тип даних
"np.zeros((2,2)) створює:",Матрицю нулів,Матрицю одиниць,Identity,Порожній масив,Матрицю нулів
"np.ones((2,3)) створює:",Матрицю одиниць,Матрицю нулів,Identity,Скаляр,Матрицю одиниць
np.eye(3) створює:,Одиничну матрицю,Нульову,Випадкову,Скаляр,Одиничну матрицю
"np.arange(0,10,2) дає:",[0 2 4 6 8],[0..10],[2 4 6],Помилка,[0 2 4 6 8]
"np.linspace(0,1,5) дає:",5 точок від 0 до 1,1 точку,10 точок,Помилка,5 точок від 0 до 1
ndarray містить:,Елементи одного типу,Різні типи,Лише int,Лише float,Елементи одного типу
"Визначник [[2,0],[0,3]]:",6,5,0,1,6
A @ B означає:,Матричне множення,Поелементне,Ділення,Broadcast,Матричне множення
A.T означає:,Транспонування,Детермінант,Інверсію,Суму,Транспонування
np.linalg.det обчислює:,Визначник,Кореляцію,Середнє,Власні числа,Визначник
np.linalg.inv обчислює:,Обернену матрицю,Транспоновану,Суму,MSE,Обернену матрицю
np.linalg.eig повертає:,Власні значення і вектори,Тільки значення,Тільки вектори,Детермінант,Власні значення і вектори
Якщо матриця діагональна — власні числа:,Діагональні елементи,1,0,Сума,Діагональні елементи
Власний вектор після множення:,Масштабується,Змінює розмірність,Стає нульовим,Транспонується,Масштабується
det(A)=0 означає:,Матриця необернена,Обернена,Одинична,Скаляр,Матриця необернена
Квадратна матриця n×n має:,n власних значень,1,2,∞,n власних значень
np.mean обчислює:,Середнє,Медіану,Дисперсію,Суму,Середнє
np.median обчислює:,Медіану,Середнє,Std,Var,Медіану
np.std обчислює:,Стандартне відхилення,Середнє,Медіану,Суму,Стандартне відхилення
np.var обчислює:,Дисперсію,Std,Mean,Cov,Дисперсію
np.corrcoef повертає:,Матрицю кореляцій,Число,Скаляр,Mean,Матрицю кореляцій
np.cov повертає:,Матрицю коваріацій,Скаляр,Mean,Std,Матрицю коваріацій
Кореляція завжди в межах:,"[-1,1]","[0,1]","[-∞,∞]","[0,100]","[-1,1]"
Кореляція не залежить від:,Масштабу,Значень,Даних,Форми,Масштабу
Коваріація залежить від:,Масштабу,Нічого,Осі,Розміру,Масштабу
corr=0 означає:,Немає лінійного зв’язку,Причинність,Ідеальна залежність,Помилка,Немає лінійного зв’язку
MSE формула:,mean((y-ŷ)^2),mean(|y-ŷ|),sum,std,mean((y-ŷ)^2)
MAE формула:,mean(|y-ŷ|),mean((y-ŷ)^2),std,cov,mean(|y-ŷ|)
MSE сильніше штрафує:,Великі помилки,Малі помилки,Нічого,Кореляцію,Великі помилки
Нормалізація формула:,(X-min)/(max-min),(X-mean)/std,X/max,X-min,(X-min)/(max-min)
Стандартизація формула:,(X-mean)/std,(X-min)/(max-min),X/std,X-mean,(X-mean)/std
Після стандартизації mean≈,0,1,∞,n,0
axis=0 означає:,По стовпцях,По рядках,Все,Немає осі,По стовпцях
axis=1 означає:,По рядках,По стовпцях,Все,Скаляр,По рядках
Булева індексація використовує:,Маску True/False,Цикл,if,for,Маску True/False
np.where дозволяє:,Заміщення за умовою,Mean,Var,Cov,Заміщення за умовою
