Question,A,B,C,D,Prav_vid
Що означає reproducibility у Data Science?,Можливість повторити результати,Видалення даних,Шифрування коду,Візуалізація графіків,A
Яка головна проблема відсутності відтворюваності?,Збільшення RAM,Недовіра до результатів,Швидший pipeline,Краща візуалізація,B
Що є перевагою Jupyter Notebook?,Інтерактивність,Повільний запуск,Обов’язковий Git,Автоматичний деплой,A
Що є недоліком Jupyter Notebook?,Повна автоматизація,Прихований стан,Швидший деплой,Вбудований Git,B
Що таке out-of-order execution?,Виконання комірок не по порядку,Автоматичне логування,Видалення змінних,Компіляція Python,A
Який файл має розширення .py?,Python-скрипт,Jupyter Notebook,CSV-файл,YAML-файл,A
Яка перевага Python-скриптів?,Легка автоматизація,Прихований стан,Відсутність структури,Поганий деплой,A
Що краще використовувати для EDA?,Jupyter Notebook,Cron,Git,Task Scheduler,A
Що краще використовувати для production pipeline?,Python scripts,Excel,PowerPoint,Notebook only,A
Для чого потрібна папка data/raw/?,Для сирих даних,Для логів,Для моделей,Для notebook,A
Для чого потрібна папка data/processed/?,Для оброблених даних,Для Git,Для API,Для Docker,A
Що зберігається у папці src/?,Основний код,Сирі дані,Логи,Моделі,A
Яке призначення config.yaml?,Зберігання конфігурацій,Зберігання моделей,Візуалізація,Створення Git,A
Для чого потрібна папка logs/?,Зберігання журналів,Зберігання даних,Зберігання notebook,Зберігання API,A
Що містить README.md?,Опис проєкту,Навчальні дані,Docker image,Random seed,A
Який модуль використовується для логування?,logging,numpy,yaml,random,A
Що робить logging.info()?,Записує інформаційне повідомлення,Видаляє файл,Навчає модель,Створює Git commit,A
Який рівень логування відповідає помилкам?,logging.error,logging.debug,logging.info,logging.warning,A
Що робить logging.warning()?,Створює попередження,Завершує pipeline,Навчає модель,Створює CSV,A
Що робить logging.debug()?,Пише детальну інформацію,Створює README,Зберігає модель,Очищає дані,A
Для чого використовують try-except у pipeline?,Для обробки помилок,Для графіків,Для Git,Для YAML,A
Що означає хардкод параметрів?,Параметри записані прямо в коді,Параметри в YAML,Параметри в JSON,Параметри в Git,A
Що краще за хардкод?,Конфігураційний файл,Print(),Excel,Notebook,A
Який формат часто використовують для ML-конфігурацій?,YAML,PNG,MP4,DOCX,A
Яка бібліотека потрібна для YAML у Python?,pyyaml,opencv,tensorflow,flask,A
Яка функція читає YAML?,yaml.safe_load(),yaml.compile(),yaml.open(),yaml.read_csv(),A
Що є перевагою YAML?,Зручність для людини,Обов’язкові лапки,Вбудований у браузер,Шифрування,A
Який формат є строгішим?,JSON,YAML,Markdown,CSV,A
Яка бібліотека використовується для JSON?,json,numpy,pandas,torch,A
Що є обов’язковим у JSON для рядків?,Подвійні лапки,Одинарні лапки,Коментарі,HTML-теги,A
Що робить git init?,Ініціалізує репозиторій,Видаляє Git,Створює Docker,Запускає notebook,A
Яка команда показує статус Git?,git status,git start,git show,git pull,A
Що робить git add . ?,Додає всі файли,Видаляє репозиторій,Запускає pipeline,Створює README,A
Що таке commit у Git?,Збережена версія проєкту,CSV-файл,Модель ML,Лог-файл,A
Для чого потрібен .gitignore?,Ігнорувати певні файли,Створювати графіки,Навчати модель,Створювати API,A
Який файл часто додають у .gitignore?,__pycache__/,README.md,train.py,config.yaml,A
Чому .env не варто додавати у Git?,Може містити секретні дані,Він занадто малий,Він не підтримується,Через matplotlib,A
Що означає reproducibility experiments?,Однакові результати при повторному запуску,Створення Git,Візуалізація,Робота з HTML,A
Для чого фіксують seed?,Для стабільних результатів,Для швидшого GPU,Для видалення логів,Для Docker,A
Яка функція фіксує seed у NumPy?,np.random.seed(),np.load(),np.fit(),np.commit(),A
Яка функція фіксує seed у random?,random.seed(),random.fit(),random.yaml(),random.log(),A
Який параметр у scikit-learn відповідає за випадковість?,random_state,learning_rate,epochs,shuffle_size,A
Що може впливати на невеликі відхилення навіть із seed?,GPU,README,CSV,Markdown,A
Що таке pipeline?,Послідовність автоматичних кроків,Формат JSON,Тип графіка,Git branch,A
Який файл часто є entry point?,main.py,README.md,config.yaml,data.csv,A
Що робить load_data()?,Завантажує дані,Зберігає модель,Комітить Git,Створює API,A
Що робить preprocess()?,Обробляє дані,Створює Git,Видаляє Python,Компілює код,A
Що робить train()?,Навчає модель,Видаляє дані,Створює notebook,Пише README,A
Що робить save_model()?,Зберігає модель,Створює графік,Видаляє seed,Створює CSV,A
Яка головна перевага автоматизації?,Один запуск для всього workflow,Більше ручної роботи,Відсутність логів,Видалення Git,A
