Question,A,B,C,D,Prav_vid
Що є основною метою train_test_split()?,Візуалізація даних,Розділення даних на train і test,Масштабування ознак,Видалення пропусків,B
Що означає test_size=0.2?,20% даних для тесту,20% даних для train,2% даних для тесту,80% даних для тесту,A
Для чого використовується random_state?,Для видалення шуму,Для фіксації випадковості,Для масштабування,Для кодування,B
Що означає axis=1 у df.drop()?,Робота з рядками,Робота зі стовпцями,Робота з файлами,Робота з індексами,B
Що таке data leakage?,Втрата даних,Використання test-даних під час навчання,Видалення target,Зменшення dataset,B
Яке правило правильне для scaler?,fit на всіх даних,fit тільки на test,fit тільки на train,fit не потрібен,C
"Що робить StandardScaler?,""Приводить mean≈0, std≈1"",Стискає до 0–1,Видаляє пропуски,Кодує текст,A"
Що робить MinMaxScaler?,Mean=0,Діапазон 0–1,Видаляє викиди,Створює target,B
Коли краще використовувати RobustScaler?,При викидах,Для тексту,Для зображень,Для API,A
Для чого потрібен OneHotEncoder?,Для числових ознак,Для кодування категорій без порядку,Для регресії,Для видалення колонок,B
Що є основною метою train_test_split()?,Візуалізація даних,Розділення даних на train і test,Масштабування ознак,Видалення пропусків,B
Що означає test_size=0.2?,20% даних для тесту,20% даних для train,2% даних для тесту,80% даних для тесту,A
Для чого використовується random_state?,Для видалення шуму,Для фіксації випадковості,Для масштабування,Для кодування,B
Що означає axis=1 у df.drop()?,Робота з рядками,Робота зі стовпцями,Робота з файлами,Робота з індексами,B
Що таке data leakage?,Втрата даних,Використання test-даних під час навчання,Видалення target,Зменшення dataset,B
Яке правило правильне для scaler?,fit на всіх даних,fit тільки на test,fit тільки на train,fit не потрібен,C
"Що робить StandardScaler?,""Приводить mean≈0, std≈1"",Стискає до 0–1,Видаляє пропуски,Кодує текст,A"
Що робить MinMaxScaler?,Mean=0,Діапазон 0–1,Видаляє викиди,Створює target,B
Коли краще використовувати RobustScaler?,При викидах,Для тексту,Для зображень,Для API,A
Для чого потрібен OneHotEncoder?,Для числових ознак,Для кодування категорій без порядку,Для регресії,Для видалення колонок,B
Що є основною метою train_test_split()?,Візуалізація даних,Розділення даних на train і test,Масштабування ознак,Видалення пропусків,B
Що означає test_size=0.2?,20% даних для тесту,20% даних для train,2% даних для тесту,80% даних для тесту,A
Для чого використовується random_state?,Для видалення шуму,Для фіксації випадковості,Для масштабування,Для кодування,B
Що означає axis=1 у df.drop()?,Робота з рядками,Робота зі стовпцями,Робота з файлами,Робота з індексами,B
Що таке data leakage?,Втрата даних,Використання test-даних під час навчання,Видалення target,Зменшення dataset,B
Яке правило правильне для scaler?,fit на всіх даних,fit тільки на test,fit тільки на train,fit не потрібен,C
"Що робить StandardScaler?,""Приводить mean≈0, std≈1"",Стискає до 0–1,Видаляє пропуски,Кодує текст,A"
Що робить MinMaxScaler?,Mean=0,Діапазон 0–1,Видаляє викиди,Створює target,B
Коли краще використовувати RobustScaler?,При викидах,Для тексту,Для зображень,Для API,A
Для чого потрібен OneHotEncoder?,Для числових ознак,Для кодування категорій без порядку,Для регресії,Для видалення колонок,B
Що є основною метою train_test_split()?,Візуалізація даних,Розділення даних на train і test,Масштабування ознак,Видалення пропусків,B
Що означає test_size=0.2?,20% даних для тесту,20% даних для train,2% даних для тесту,80% даних для тесту,A
Для чого використовується random_state?,Для видалення шуму,Для фіксації випадковості,Для масштабування,Для кодування,B
Що означає axis=1 у df.drop()?,Робота з рядками,Робота зі стовпцями,Робота з файлами,Робота з індексами,B
Що таке data leakage?,Втрата даних,Використання test-даних під час навчання,Видалення target,Зменшення dataset,B
Яке правило правильне для scaler?,fit на всіх даних,fit тільки на test,fit тільки на train,fit не потрібен,C
"Що робить StandardScaler?,""Приводить mean≈0, std≈1"",Стискає до 0–1,Видаляє пропуски,Кодує текст,A"
Що робить MinMaxScaler?,Mean=0,Діапазон 0–1,Видаляє викиди,Створює target,B
Коли краще використовувати RobustScaler?,При викидах,Для тексту,Для зображень,Для API,A
Для чого потрібен OneHotEncoder?,Для числових ознак,Для кодування категорій без порядку,Для регресії,Для видалення колонок,B
Що є основною метою train_test_split()?,Візуалізація даних,Розділення даних на train і test,Масштабування ознак,Видалення пропусків,B
Що означає test_size=0.2?,20% даних для тесту,20% даних для train,2% даних для тесту,80% даних для тесту,A
Для чого використовується random_state?,Для видалення шуму,Для фіксації випадковості,Для масштабування,Для кодування,B
Що означає axis=1 у df.drop()?,Робота з рядками,Робота зі стовпцями,Робота з файлами,Робота з індексами,B
Що таке data leakage?,Втрата даних,Використання test-даних під час навчання,Видалення target,Зменшення dataset,B
Яке правило правильне для scaler?,fit на всіх даних,fit тільки на test,fit тільки на train,fit не потрібен,C
"Що робить StandardScaler?,""Приводить mean≈0, std≈1"",Стискає до 0–1,Видаляє пропуски,Кодує текст,A"
Що робить MinMaxScaler?,Mean=0,Діапазон 0–1,Видаляє викиди,Створює target,B
Коли краще використовувати RobustScaler?,При викидах,Для тексту,Для зображень,Для API,A
Для чого потрібен OneHotEncoder?,Для числових ознак,Для кодування категорій без порядку,Для регресії,Для видалення колонок,B
Що є основною метою train_test_split()?,Візуалізація даних,Розділення даних на train і test,Масштабування ознак,Видалення пропусків,B
Що означає test_size=0.2?,20% даних для тесту,20% даних для train,2% даних для тесту,80% даних для тесту,A
Для чого використовується random_state?,Для видалення шуму,Для фіксації випадковості,Для масштабування,Для кодування,B
Що означає axis=1 у df.drop()?,Робота з рядками,Робота зі стовпцями,Робота з файлами,Робота з індексами,B
Що таке data leakage?,Втрата даних,Використання test-даних під час навчання,Видалення target,Зменшення dataset,B
Яке правило правильне для scaler?,fit на всіх даних,fit тільки на test,fit тільки на train,fit не потрібен,C
"Що робить StandardScaler?,""Приводить mean≈0, std≈1"",Стискає до 0–1,Видаляє пропуски,Кодує текст,A"
Що робить MinMaxScaler?,Mean=0,Діапазон 0–1,Видаляє викиди,Створює target,B
Коли краще використовувати RobustScaler?,При викидах,Для тексту,Для зображень,Для API,A
Для чого потрібен OneHotEncoder?,Для числових ознак,Для кодування категорій без порядку,Для регресії,Для видалення колонок,B
Що є основною метою train_test_split()?,Візуалізація даних,Розділення даних на train і test,Масштабування ознак,Видалення пропусків,B
Що означає test_size=0.2?,20% даних для тесту,20% даних для train,2% даних для тесту,80% даних для тесту,A
Для чого використовується random_state?,Для видалення шуму,Для фіксації випадковості,Для масштабування,Для кодування,B
Що означає axis=1 у df.drop()?,Робота з рядками,Робота зі стовпцями,Робота з файлами,Робота з індексами,B
Що таке data leakage?,Втрата даних,Використання test-даних під час навчання,Видалення target,Зменшення dataset,B
Яке правило правильне для scaler?,fit на всіх даних,fit тільки на test,fit тільки на train,fit не потрібен,C
"Що робить StandardScaler?,""Приводить mean≈0, std≈1"",Стискає до 0–1,Видаляє пропуски,Кодує текст,A"
Що робить MinMaxScaler?,Mean=0,Діапазон 0–1,Видаляє викиди,Створює target,B
Коли краще використовувати RobustScaler?,При викидах,Для тексту,Для зображень,Для API,A
Для чого потрібен OneHotEncoder?,Для числових ознак,Для кодування категорій без порядку,Для регресії,Для видалення колонок,B
Що є основною метою train_test_split()?,Візуалізація даних,Розділення даних на train і test,Масштабування ознак,Видалення пропусків,B
Що означає test_size=0.2?,20% даних для тесту,20% даних для train,2% даних для тесту,80% даних для тесту,A
Для чого використовується random_state?,Для видалення шуму,Для фіксації випадковості,Для масштабування,Для кодування,B
Що означає axis=1 у df.drop()?,Робота з рядками,Робота зі стовпцями,Робота з файлами,Робота з індексами,B
Що таке data leakage?,Втрата даних,Використання test-даних під час навчання,Видалення target,Зменшення dataset,B
Яке правило правильне для scaler?,fit на всіх даних,fit тільки на test,fit тільки на train,fit не потрібен,C
"Що робить StandardScaler?,""Приводить mean≈0, std≈1"",Стискає до 0–1,Видаляє пропуски,Кодує текст,A"
Що робить MinMaxScaler?,Mean=0,Діапазон 0–1,Видаляє викиди,Створює target,B
Коли краще використовувати RobustScaler?,При викидах,Для тексту,Для зображень,Для API,A
Для чого потрібен OneHotEncoder?,Для числових ознак,Для кодування категорій без порядку,Для регресії,Для видалення колонок,B
Що є основною метою train_test_split()?,Візуалізація даних,Розділення даних на train і test,Масштабування ознак,Видалення пропусків,B
Що означає test_size=0.2?,20% даних для тесту,20% даних для train,2% даних для тесту,80% даних для тесту,A
Для чого використовується random_state?,Для видалення шуму,Для фіксації випадковості,Для масштабування,Для кодування,B
Що означає axis=1 у df.drop()?,Робота з рядками,Робота зі стовпцями,Робота з файлами,Робота з індексами,B
Що таке data leakage?,Втрата даних,Використання test-даних під час навчання,Видалення target,Зменшення dataset,B
Яке правило правильне для scaler?,fit на всіх даних,fit тільки на test,fit тільки на train,fit не потрібен,C
"Що робить StandardScaler?,""Приводить mean≈0, std≈1"",Стискає до 0–1,Видаляє пропуски,Кодує текст,A"
Що робить MinMaxScaler?,Mean=0,Діапазон 0–1,Видаляє викиди,Створює target,B
Коли краще використовувати RobustScaler?,При викидах,Для тексту,Для зображень,Для API,A
Для чого потрібен OneHotEncoder?,Для числових ознак,Для кодування категорій без порядку,Для регресії,Для видалення колонок,B
Що є основною метою train_test_split()?,Візуалізація даних,Розділення даних на train і test,Масштабування ознак,Видалення пропусків,B
Що означає test_size=0.2?,20% даних для тесту,20% даних для train,2% даних для тесту,80% даних для тесту,A
Для чого використовується random_state?,Для видалення шуму,Для фіксації випадковості,Для масштабування,Для кодування,B
Що означає axis=1 у df.drop()?,Робота з рядками,Робота зі стовпцями,Робота з файлами,Робота з індексами,B
Що таке data leakage?,Втрата даних,Використання test-даних під час навчання,Видалення target,Зменшення dataset,B
Яке правило правильне для scaler?,fit на всіх даних,fit тільки на test,fit тільки на train,fit не потрібен,C
"Що робить StandardScaler?,""Приводить mean≈0, std≈1"",Стискає до 0–1,Видаляє пропуски,Кодує текст,A"
Що робить MinMaxScaler?,Mean=0,Діапазон 0–1,Видаляє викиди,Створює target,B
Коли краще використовувати RobustScaler?,При викидах,Для тексту,Для зображень,Для API,A
Для чого потрібен OneHotEncoder?,Для числових ознак,Для кодування категорій без порядку,Для регресії,Для видалення колонок,B
