Question,A,B,C,D,Prav_vid
"Що включає повний цикл роботи з даними?","Лише збір даних","Лише візуалізацію","Збір, очищення, аналіз та звіт","Тільки програмування",C
"У якому форматі подається підсумковий проєкт?","Лише PDF","Jupyter Notebook та PDF/презентація","Тільки Word","Лише CSV",B
"Що таке EDA?","Мова програмування","Метод шифрування","Дослідницький аналіз даних","Тип бази даних",C
"Яка бібліотека використовується для роботи з таблицями в Python?","NumPy","Pandas","Matplotlib","TensorFlow",B
"Яка функція використовується для завантаження CSV-файлу?","pd.load_csv()","pd.read_csv()","csv.open()","pd.import()",B
"Що показує метод data.info()?","Графіки","Типи даних і пропуски","Тільки статистику","Лише назви колонок",B
"Для чого використовується data.describe()?","Створення графіків","Видалення даних","Отримання статистики","Експорт PDF",C
"Яка функція перевіряє пропущені значення?","data.empty()","data.isnan()","data.isnull().sum()","data.clean()",C
"Який метод використовується для заповнення пропусків?","fillna()","replace()","convert()","astype()",A
"Що робить метод drop_duplicates()?","Видаляє колонки","Видаляє дублікати","Створює графік","Сортує дані",B
"Що таке Jupyter Notebook?","Мова програмування","Середовище для аналізу даних","Тип графіка","База даних",B
"Яка бібліотека використовується для побудови графіків?","Seaborn","Matplotlib","OpenCV","Flask",B
"Для чого використовується seaborn?","Для API","Для баз даних","Для візуалізації даних","Для веб-серверів",C
"Що означає CSV?","Compressed System Value","Comma-Separated Values","Computer Storage Variable","Central Statistical View",B
"Яка команда експортує Notebook у PDF?","jupyter export","nbconvert pdf","jupyter nbconvert --to pdf","convert_pdf()",C
"Що є важливим після кожного графіка?","Новий датасет","Текстове пояснення","Видалення даних","Повторне завантаження",B
"Що аналізують під час первинного огляду даних?","Типи даних та пропуски","Лише кольори графіків","Тільки API","Лише швидкість ПК",A
"Який тип файлу використовує Jupyter Notebook?",".csv",".txt",".ipynb",".exe",C
"Який етап передбачає очищення даних?","EDA","Підготовка даних","Експорт PDF","Презентація",B
"Що виконується після збору даних?","Очищення","Архівація","Видалення","Шифрування",A
"Що таке візуалізація даних?","Метод шифрування","Подання даних у графічному вигляді","Тип файлу","Компіляція",B
"Для чого використовується plt.plot()?","Створення таблиці","Побудова лінійного графіка","Завантаження CSV","Створення API",B
"Що виконує sns.barplot()?","Створює гістограму","Створює стовпчиковий графік","Видаляє дані","Зчитує CSV",B
"Для чого використовується histplot()?","Для розподілу значень","Для API","Для сортування","Для SQL",A
"Який етап включає формування висновків?","EDA","Звіт","Імпорт","Компіляція",B
"Що таке пропущені значення?","Порожні дані","Зайві графіки","Тип API","Формат PDF",A
"Яка функція перетворює тип даних?","astype()","plot()","fillna()","groupby()",A
"Що робить pd.to_datetime()?","Видаляє дати","Перетворює у формат дати","Створює PDF","Експортує CSV",B
"Що таке dataset?","База даних","Набір даних","Графік","Код",B
"Для чого використовується groupby()?","Групування даних","Створення PDF","Видалення рядків","Очищення пам’яті",A
"Що показує data.head()?","Перші рядки таблиці","Останні рядки","Типи даних","Графіки",A
"Що оцінюється у підсумковому проєкті?","Лише код","Лише дизайн","Логіка, аналіз і оформлення","Лише презентація",C
"Що є прикладом теми проєкту?","Аналіз продажів","Створення ОС","Розробка драйверів","Монтаж відео",A
"Що є джерелом даних?","CSV","API","Веб-скрейпінг","Усі варіанти",D
"Для чого використовується Markdown у Notebook?","Для текстових пояснень","Для компіляції","Для API","Для SQL",A
"Який графік показує динаміку у часі?","Лінійний","Круговий","Точковий","3D",A
"Що потрібно додавати до графіків?","Підписи","SQL","API","Архів",A
"Що є типовою помилкою студентів?","Пояснення коду","Графіки без підписів","Очищення даних","Використання markdown",B
"Який інструмент використовується для презентації результатів?","PDF","PowerPoint","Jupyter","Усі варіанти",D
"Що таке аналітичне мислення?","Вміння аналізувати дані","Мова програмування","Тип графіка","Формат файлу",A
"Який критерій оцінювання включає візуалізацію?","20 балів","5 балів","50 балів","0 балів",A
"Для чого використовується plt.figure()?","Створення фігури графіка","Зчитування CSV","API","SQL",A
"Що робить plt.show()?","Показує графік","Видаляє дані","Завантажує файл","Створює таблицю",A
